study_id,country,facility_type,measure,numerator,denominator,denominator_definition,notes,url,proportion,ci_low,ci_high
KAWAI2025,Japan,Neurosurgical facilities,Survey response,656,1220,Sampled facilities,53.8% response,https://doi.org/10.1186/s12987-025-00681-6,0.5377049180327869,0.5092557241394366,0.5659719767319077
KAWAI2025,Japan,Neurosurgical facilities,Performed ≥1 shunt in 2022,450,656,Responding facilities,67 missing/unclear; do not treat remainder as zero-shunt automatically,https://doi.org/10.1186/s12987-025-00681-6,0.6859756097560976,0.6489181788887826,0.7213495278454716
KAWAI2025,Japan,Neurosurgical facilities,Performed zero shunts in 2022,139,656,Responding facilities,NA,https://doi.org/10.1186/s12987-025-00681-6,0.21189024390243902,0.18121127601672848,0.24518679637181529
KAWAI2025,Japan,Neurosurgical facilities,Policy not to shunt locally; refer out,30,656,Responding facilities,NA,https://doi.org/10.1186/s12987-025-00681-6,0.04573170731707317,0.031064432671698672,0.06464374210429513
KAWAI2025,Japan,Shunting facilities,Used Japanese guidelines,415,450,Facilities performing shunts,NA,https://doi.org/10.1186/s12987-025-00681-6,0.9222222222222223,0.8934882037362127,0.9452292898755986
KAWAI2025,Japan,Shunting facilities,Aware of DESH,435,450,Facilities performing shunts,NA,https://doi.org/10.1186/s12987-025-00681-6,0.9666666666666667,0.9456170989832979,0.9812258863222821
KAWAI2025,Japan,Shunting facilities,Collaborated with internal medicine,201,450,Facilities performing shunts,NA,https://doi.org/10.1186/s12987-025-00681-6,0.44666666666666666,0.40010476740413425,0.49393406563803
KAWAI2025,Japan,Shunting facilities,Hesitation: inadequate care/institutionalized,252,450,Facilities performing shunts,"Facility attitude, not a patient denial count",https://doi.org/10.1186/s12987-025-00681-6,0.56,0.5127583602022764,0.6064479159826182
KAWAI2025,Japan,Shunting facilities,Hesitation: schizophrenia,199,450,Facilities performing shunts,NA,https://doi.org/10.1186/s12987-025-00681-6,0.44222222222222224,0.39573538569538536,0.4894733731446028
KAWAI2025,Japan,Shunting facilities,Hesitation: Alzheimer disease,192,450,Facilities performing shunts,NA,https://doi.org/10.1186/s12987-025-00681-6,0.4266666666666667,0.3804718207380835,0.4738317256653646
