analysis_id,study_id,year,country,design,entry_setting,test_type,numerator,denominator,proportion,ci_low,ci_high,observed_nonprogression,source_type,decision_note
P1_REFERRAL_TO_SHUNT,GIANNINI2019,2019,Italy,Prospective observational,Specialist referral clinic,NA,43,154,0.2792207792207792,0.2100165081478763,0.35713089560858213,0.7207792207792207,reported,Initial referral denominator
P1_REFERRAL_TO_SHUNT,ALHUSAINI2024,2024,USA,Prospective implementation cohort,Multidisciplinary referral clinic,NA,41,111,0.36936936936936937,0.2797082707942944,0.46618698590003216,0.6306306306306306,reported,Prospective implementation cohort
P1_REFERRAL_TO_SHUNT,MARTINLAEZ2016,2016,Spain,Prospective population referral cohort,Defined-catchment referral,NA,152,293,0.5187713310580204,0.4599146570611212,0.5772446341661719,0.4812286689419796,reported,Population catchment with active referral reminders
P1_REFERRAL_TO_SHUNT,PYYKKO2018,2018,Finland,Defined-population registry cohort,Defined-population referral registry,NA,269,536,0.5018656716417911,0.458694484731047,0.5450161839952911,0.4981343283582089,reported,Primary Kuopio report for this estimand
P1_REFERRAL_TO_SHUNT,MACKI2020,2020,USA,Retrospective multidisciplinary cohort,Multidisciplinary NPH conference,NA,86,330,0.2606060606060606,0.21406634883996722,0.31150068036719336,0.7393939393939394,reported,Conference-entry denominator
P1_REFERRAL_TO_SHUNT,MARMAROU2005,2005,USA,Prospective protocol cohort,Specialist clinical evaluation,ELD,102,151,0.6754966887417219,0.5946012981079711,0.7493478879996387,0.32450331125827814,reported,Clinical iNPH protocol cohort
P1_REFERRAL_TO_SHUNT,BECHAZEDDINE2001,2001,Denmark,Multidisciplinary memory-clinic cohort,Memory-clinic suspected referrals,NA,13,71,0.18309859154929578,0.1012555209784679,0.29272913517897836,0.8169014084507042,derived,Derived end-to-end effect from suspected referrals
P2_DIAGNOSED_TO_SHUNT,GIANNINI2019,2019,Italy,Prospective observational,Specialist referral clinic,NA,43,76,0.5657894736842105,0.44711911659363124,0.6791744264083925,0.4342105263157895,derived,Derived treatment receipt among diagnosed iNPH
P2_DIAGNOSED_TO_SHUNT,MARTINLAEZ2016,2016,Spain,Prospective population referral cohort,Defined-catchment referral,NA,152,187,0.8128342245989305,0.74943514953026,0.8660337338839634,0.1871657754010695,reported,Diagnosed iNPH denominator
P2_DIAGNOSED_TO_SHUNT,PYYKKO2018,2018,Finland,Defined-population registry cohort,Defined-population referral registry,NA,269,283,0.950530035335689,0.9183900639679103,0.9726938145524137,0.04946996466431097,reported,Primary Kuopio report for this estimand
P2_DIAGNOSED_TO_SHUNT,RAZAY2019,2019,Australia,Prospective memory-clinic cohort,Memory clinic,NA,29,62,0.46774193548387094,0.3398265878374893,0.5988410313264712,0.532258064516129,reported,Diagnosed iNPH denominator
